,Total number of likes,Number of YouTubers,,,Total number of likes,Number of YouTubers,
0,1,0,,,1,0,
1,10,0,,,10,0,
2,100,1,,,,0,1000
3,1000,0,,,,1,100
4,10000,6,,,,1,1000000000
5,100000,21,,,,6,10000
6,1000000,35,,,,9,100000000
7,10000000,15,,,,15,10000000
8,100000000,9,,,,21,100000
9,1000000000,1,,,,35,1000000
